checklist,checklist_id,section,section_id,checkpoint_id,checkpoint,type,unit,critical,photo_for_record,guidance
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-scope,Installed work matches the signed scope of work / proposal,yesno,,yes,,"Compare equipment, quantities, and locations against the sold proposal line by line."
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-change-orders,Any deviations from scope are documented on a signed change order,yesno,,yes,,"Verbal approvals do not count. If the crew changed anything, there is paperwork."
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-permits,"Permits pulled, posted on site, and required inspections scheduled or passed",yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-serials,All equipment model and serial numbers recorded and photographed,yesno,,,yes,Shoot the data plate straight on and legible — this is the warranty record.
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-registration,Manufacturer warranty registration submitted,yesno,,,,Extended warranties are void if registration is missed inside the window.
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-protection,Floor and surface protection was used; no damage to interior finishes,yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-cleanup,"Work areas cleaned; all debris, packaging, and old equipment removed from property",yesno,,,yes,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-exterior,"No damage to siding, roofing, landscaping, or driveway",yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-penetrations,"All exterior penetrations sealed, flashed, and weather-tight",yesno,,,yes,"Check every hole made today: line sets, vents, condensate, wiring."
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-labeling,"Equipment, disconnects, and breakers are labeled and accessible",yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-co-alarms,Working CO and smoke alarms present on every level with combustion appliances,yesno,,yes,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-combustion,Existing combustion appliances checked for proper draft and no spillage,yesno,,yes,,Required any time the building envelope or air balance was changed.
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-operation,"System started, run through a full cycle, and left operating correctly",yesno,,yes,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-walkthrough,Customer walkthrough completed and system operation demonstrated,yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-education,"Customer trained on controls, filter service intervals, and seasonal changeover",yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-documents,"Manuals, warranty paperwork, and spare filters left with customer",yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-service-contact,Customer given service contact information and knows who to call,yesno,,,,
(shared) Universal QC Standards,shared,Universal QC Standards,universal,u-satisfaction,Customer states they are satisfied with the completed work,yesno,,yes,,"If No, capture their words verbatim in the explanation."
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-co-alarms,Working CO alarms present on every level with fuel-burning appliances,yesno,,yes,,"Press to test. A missing or dead CO alarm is a same-day fix, not a punch item."
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-smoke-alarms,Working smoke alarms present and not past their replacement date,yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-gas-odor,No gas odor anywhere in the building,yesno,,yes,,"If yes to an odor: stop, evacuate, call the utility. Do not continue the audit."
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-co-reading,Ambient CO reading in the main living space,measurement,ppm,,,
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-spillage,"No visible spillage, scorching, or backdraft at any combustion appliance",yesno,,yes,yes,"Look for soot, melted plastic, or rust streaks at the draft hood."
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-flue,"Flues and vent connectors intact, sloped correctly, and properly supported",yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-chemicals,"No solvents, gasoline, or paint stored near combustion appliances",yesno,,,,
Quick Safety Audit,quick-safety-audit,Occupant & Building Safety,qsa-occupant,qsa-egress,"Exits, stairs, and walkways clear of tools, materials, and cords",yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Electrical,qsa-electrical,qsa-panel,"Panel cover in place, no exposed conductors or open knockouts",yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Electrical,qsa-electrical,qsa-wiring,"No damaged, spliced, or unsupported wiring in the work area",yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Electrical,qsa-electrical,qsa-knob-tube,Knob-and-tube or other legacy wiring identified and flagged if present,yesno,,,,Answer No if it is present and not yet documented for the office.
Quick Safety Audit,quick-safety-audit,Electrical,qsa-electrical,qsa-gfci,GFCI protection present where required and tested,yesno,,,,
Quick Safety Audit,quick-safety-audit,Electrical,qsa-electrical,qsa-cords,"Extension cords and power tools in good condition, correctly rated",yesno,,,,
Quick Safety Audit,quick-safety-audit,Hazardous Materials & Air Quality,qsa-materials,qsa-asbestos,No suspected asbestos disturbed or at risk of disturbance,yesno,,yes,yes,"Pipe wrap, duct tape mastic, floor tile, popcorn ceilings in pre-1985 homes."
Quick Safety Audit,quick-safety-audit,Hazardous Materials & Air Quality,qsa-materials,qsa-vermiculite,No vermiculite insulation present in the work area,yesno,,yes,,"Loose, pebbly, gold-brown. Assume it contains asbestos until tested."
Quick Safety Audit,quick-safety-audit,Hazardous Materials & Air Quality,qsa-materials,qsa-lead,Lead-safe practices in place where pre-1978 painted surfaces are disturbed,yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Hazardous Materials & Air Quality,qsa-materials,qsa-mold,No active mold growth or water intrusion in the work area,yesno,,,yes,
Quick Safety Audit,quick-safety-audit,Hazardous Materials & Air Quality,qsa-materials,qsa-pests,No rodent or pest contamination requiring remediation before work,yesno,,,,
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-ppe,Crew wearing the PPE the task requires,yesno,,yes,,"Respirators for insulation and demo, eye protection, gloves, hearing protection."
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-ladders,"Ladders correctly set, footed, and tied off where required",yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-fall,"Fall protection in place for attic walkways, roof work, and open framing",yesno,,yes,,
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-attic-access,"Attic and crawlspace access safe — adequate lighting, no unsupported ceiling",yesno,,,,
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-structural,"No structural concerns noted in attic, crawlspace, or basement",yesno,,,yes,
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-vehicles,Vehicles and trailers parked without blocking access or creating a hazard,yesno,,,,
Quick Safety Audit,quick-safety-audit,Crew & Work Area,qsa-worksite,qsa-occupants,"Occupants, children, and pets kept clear of the work area",yesno,,,,
